marketplace,seller_id,order_id,order_line_id,sku,category,quantity,unit_price,gross_amount,commission_rate_expected,commission_charged,logistics_fee,campaign_discount,net_paid,order_date,payout_date,is_return,refund_amount,commission_refund
hepsiburada,1010,500077,500077-3,SKU-12,home,2,1969,3938,0.1,385.8,16,0,3536.2,2026-02-09,2026-02-14,0,0,0.0
trendyol,1002,500078,500078-1,SKU-76,cosmetics,3,660,1980,0.2,388.0,46,0,1546.0,2026-01-07,2026-01-11,0,0,0.0
trendyol,1003,500079,500079-1,SKU-62,fashion,2,1453,2906,0.1,290.6,16,0,2599.4,2026-01-16,2026-01-20,0,0,0.0
hepsiburada,1009,500080,500080-1,SKU-95,fashion,3,897,2691,0.1,269.1,30,0,2391.9,2026-01-05,2026-01-13,0,0,0.0
trendyol,1002,500081,500081-1,SKU-67,electronics,1,712,712,0.15,106.8,45,0,560.2,2026-01-02,2026-01-07,1,712,106.8
hepsiburada,1000,500082,500082-3,SKU-19,fashion,1,647,647,0.1,64.7,38,0,544.3,2026-01-06,2026-01-14,0,0,0.0
trendyol,1005,500083,500083-1,SKU-7,home,2,895,1790,0.2,368.0,48,0,1374.0,2026-01-20,2026-01-26,1,1790,358.0
hepsiburada,1005,500084,500084-1,SKU-90,electronics,2,1168,2336,0.1,243.6,19,0,2073.4,2026-01-31,2026-02-10,0,0,0.0
trendyol,1010,500085,500085-2,SKU-34,fashion,1,1846,1846,0.1,184.6,55,100,1506.4,2026-01-01,2026-01-08,0,0,0.0
hepsiburada,1001,500086,500086-3,SKU-9,cosmetics,3,1907,5721,0.15,868.15,49,0,4803.85,2026-01-13,2026-01-16,0,0,0.0
hepsiburada,1007,500087,500087-1,SKU-21,fashion,1,1243,1243,0.15,186.45,22,0,1034.55,2026-01-26,2026-01-31,0,0,0.0
hepsiburada,1006,500088,500088-2,SKU-59,home,3,1259,3777,0.15,566.55,23,100,3087.45,2026-02-21,2026-02-25,1,3777,0.0
trendyol,1010,500089,500089-3,SKU-54,electronics,3,1739,5217,0.1,521.7,39,0,4656.3,2026-02-17,2026-02-20,0,0,0.0
hepsiburada,1001,500090,500090-3,SKU-6,cosmetics,1,1430,1430,0.1,153.0,33,0,1244.0,2026-02-16,2026-02-22,0,0,0.0
hepsiburada,1000,500091,500091-2,SKU-62,fashion,2,513,1026,0.1,102.6,47,0,876.4,2026-02-23,2026-03-02,0,0,0.0
trendyol,1008,500092,500092-2,SKU-12,cosmetics,2,883,1766,0.1,176.6,23,100,1466.4,2026-01-18,2026-01-26,0,0,0.0
trendyol,1002,500093,500093-2,SKU-79,home,1,608,608,0.1,60.8,39,50,458.20000000000005,2026-01-20,2026-01-27,1,608,60.8
hepsiburada,1002,500094,500094-2,SKU-93,electronics,2,440,880,0.2,186.0,25,0,669.0,2026-01-14,2026-01-23,0,0,0.0
hepsiburada,1004,500095,500095-1,SKU-59,cosmetics,3,1316,3948,0.1,394.8,34,50,3469.2,2026-02-27,2026-03-07,0,0,0.0
hepsiburada,1008,500096,500096-1,SKU-14,fashion,1,1429,1429,0.1,142.9,42,0,1244.1,2026-02-22,2026-03-01,0,0,0.0
trendyol,1005,500097,500097-3,SKU-84,cosmetics,3,1966,5898,0.15,884.7,10,0,5003.3,2026-02-21,2026-02-24,1,5898,0.0
hepsiburada,1007,500098,500098-2,SKU-91,home,1,110,110,0.2,22.0,20,0,68.0,2026-01-15,2026-01-22,0,0,0.0
hepsiburada,1000,500099,500099-3,SKU-9,fashion,2,1350,2700,0.1,270.0,39,50,2341.0,2026-02-18,2026-02-26,1,2700,0.0
hepsiburada,1009,500100,500100-3,SKU-74,fashion,2,810,1620,0.15,253.0,29,0,1338.0,2026-01-30,2026-02-07,0,0,0.0
trendyol,1001,500101,500101-2,SKU-36,cosmetics,2,1606,3212,0.15,491.8,16,0,2704.2,2026-02-06,2026-02-10,0,0,0.0
hepsiburada,1010,500102,500102-3,SKU-15,cosmetics,2,1149,2298,0.15,344.7,19,0,1934.3,2026-02-05,2026-02-15,0,0,0.0
hepsiburada,1010,500103,500103-3,SKU-7,fashion,2,1568,3136,0.2,627.2,23,0,2485.8,2026-01-30,2026-02-09,1,3136,627.2
trendyol,1004,500104,500104-2,SKU-1,fashion,2,319,638,0.2,119.6,30,50,438.4,2026-01-30,2026-02-09,0,0,0.0
hepsiburada,1003,500105,500105-2,SKU-53,fashion,1,1259,1259,0.15,188.85,19,50,1001.1500000000001,2026-01-14,2026-01-19,0,0,0.0
trendyol,1006,500106,500106-2,SKU-87,electronics,2,230,460,0.1,56.0,23,0,381.0,2026-02-05,2026-02-10,0,0,0.0
hepsiburada,1007,500107,500107-3,SKU-93,cosmetics,3,323,969,0.15,145.35,29,0,794.65,2026-01-08,2026-01-17,0,0,0.0
trendyol,1005,500108,500108-3,SKU-86,home,2,1625,3250,0.2,660.0,24,0,2566.0,2026-02-07,2026-02-14,1,3250,650.0
hepsiburada,1007,500109,500109-2,SKU-60,cosmetics,1,1024,1024,0.15,145.6,45,0,833.4,2026-02-03,2026-02-09,0,0,0.0
trendyol,1008,500110,500110-2,SKU-5,fashion,2,1784,3568,0.1,356.8,33,50,3128.2,2026-01-11,2026-01-20,0,0,0.0
hepsiburada,1005,500111,500111-1,SKU-40,home,1,482,482,0.2,88.4,53,100,240.60000000000002,2026-01-30,2026-02-07,1,482,96.4
hepsiburada,1009,500112,500112-1,SKU-50,home,2,1211,2422,0.1,242.2,54,0,2125.8,2026-01-12,2026-01-21,0,0,0.0
hepsiburada,1003,500113,500113-3,SKU-40,electronics,2,1308,2616,0.1,261.6,20,0,2334.4,2026-01-25,2026-02-02,0,0,0.0
trendyol,1005,500114,500114-3,SKU-52,cosmetics,3,239,717,0.2,153.4,17,0,546.6,2026-01-26,2026-01-31,0,0,0.0
trendyol,1006,500115,500115-2,SKU-74,electronics,2,297,594,0.1,59.4,40,50,444.6,2026-01-04,2026-01-10,0,0,0.0
trendyol,1009,500116,500116-1,SKU-40,home,1,1807,1807,0.1,172.7,55,0,1579.3,2026-01-14,2026-01-17,0,0,0.0
hepsiburada,1006,500117,500117-3,SKU-85,cosmetics,1,987,987,0.2,197.4,10,100,679.6,2026-02-07,2026-02-16,0,0,0.0
trendyol,1007,500118,500118-3,SKU-11,cosmetics,3,545,1635,0.1,173.5,57,0,1404.5,2026-02-13,2026-02-19,0,0,0.0
trendyol,1005,500119,500119-3,SKU-5,electronics,1,1195,1195,0.1,129.5,53,0,1012.5,2026-02-21,2026-02-25,0,0,0.0
hepsiburada,1000,500120,500120-1,SKU-80,fashion,1,422,422,0.2,76.4,52,0,293.6,2026-01-31,2026-02-09,0,0,0.0
hepsiburada,1000,500121,500121-3,SKU-44,fashion,3,1726,5178,0.2,1035.6,37,50,4055.3999999999996,2026-01-11,2026-01-16,0,0,0.0
hepsiburada,1010,500122,500122-2,SKU-22,home,2,1329,2658,0.1,265.8,29,100,2263.2,2026-01-23,2026-02-01,0,0,0.0
trendyol,1002,500123,500123-2,SKU-50,fashion,1,288,288,0.1,38.8,19,50,180.2,2026-02-07,2026-02-12,0,0,0.0
hepsiburada,1004,500124,500124-1,SKU-86,cosmetics,2,1837,3674,0.15,551.1,29,0,3093.9,2026-01-07,2026-01-12,0,0,0.0
trendyol,1001,500125,500125-1,SKU-28,electronics,3,990,2970,0.15,445.5,28,0,2496.5,2026-02-26,2026-03-08,0,0,0.0
trendyol,1004,500126,500126-3,SKU-57,cosmetics,3,955,2865,0.2,573.0,34,100,2158.0,2026-02-15,2026-02-18,1,2865,0.0
trendyol,1007,500127,500127-3,SKU-5,cosmetics,3,878,2634,0.1,263.4,43,0,2327.6,2026-02-16,2026-02-24,0,0,0.0
trendyol,1000,500128,500128-1,SKU-77,fashion,2,618,1236,0.15,185.4,10,50,990.5999999999999,2026-02-15,2026-02-22,1,1236,0.0
hepsiburada,1010,500129,500129-2,SKU-14,electronics,3,949,2847,0.15,437.05,58,0,2351.95,2026-01-06,2026-01-09,0,0,0.0
trendyol,1005,500130,500130-3,SKU-3,fashion,2,1090,2180,0.2,436.0,34,0,1710.0,2026-02-14,2026-02-18,0,0,0.0
hepsiburada,1000,500131,500131-2,SKU-32,electronics,2,1548,3096,0.1,309.6,58,0,2728.4,2026-02-20,2026-02-25,1,3096,0.0
hepsiburada,1010,500132,500132-2,SKU-55,electronics,1,996,996,0.2,199.2,47,0,749.8,2026-01-24,2026-01-29,0,0,0.0
trendyol,1004,500133,500133-3,SKU-47,cosmetics,2,1808,3616,0.15,534.4,15,0,3066.6,2026-02-20,2026-02-27,0,0,0.0
hepsiburada,1009,500134,500134-2,SKU-88,electronics,3,1776,5328,0.15,799.2,40,100,4388.8,2026-02-16,2026-02-25,1,5328,799.2
hepsiburada,1006,500135,500135-3,SKU-2,cosmetics,3,1325,3975,0.2,787.0,41,0,3147.0,2026-01-29,2026-02-08,0,0,0.0
hepsiburada,1004,500136,500136-1,SKU-51,fashion,3,372,1116,0.15,159.4,57,0,899.6,2026-02-02,2026-02-05,0,0,0.0
trendyol,1007,500137,500137-2,SKU-51,home,1,1186,1186,0.1,118.6,39,0,1028.4,2026-02-04,2026-02-09,0,0,0.0
trendyol,1000,500138,500138-3,SKU-84,cosmetics,3,1192,3576,0.2,707.2,38,0,2830.8,2026-01-16,2026-01-23,1,3576,715.2
trendyol,1006,500139,500139-3,SKU-54,electronics,1,561,561,0.1,56.1,48,0,456.9,2026-02-09,2026-02-19,1,561,0.0
hepsiburada,1007,500140,500140-1,SKU-88,cosmetics,3,774,2322,0.2,464.4,39,100,1718.6,2026-01-13,2026-01-20,1,2322,0.0
hepsiburada,1010,500141,500141-2,SKU-53,cosmetics,1,1397,1397,0.1,139.7,21,0,1236.3,2026-01-25,2026-01-31,0,0,0.0
hepsiburada,1001,500142,500142-2,SKU-94,home,3,647,1941,0.1,194.1,15,100,1631.9,2026-01-21,2026-01-28,0,0,0.0
trendyol,1002,500143,500143-1,SKU-86,cosmetics,2,142,284,0.2,48.8,38,0,197.2,2026-01-02,2026-01-09,0,0,0.0
hepsiburada,1009,500144,500144-3,SKU-51,electronics,3,1385,4155,0.2,841.0,51,100,3163.0,2026-02-09,2026-02-12,0,0,0.0
hepsiburada,1009,500145,500145-3,SKU-70,electronics,3,715,2145,0.2,439.0,10,0,1696.0,2026-01-23,2026-01-27,0,0,0.0
trendyol,1009,500146,500146-2,SKU-5,home,1,377,377,0.1,37.7,14,0,325.3,2026-01-24,2026-01-31,1,377,37.7
hepsiburada,1009,500147,500147-2,SKU-68,home,3,1716,5148,0.1,514.8,32,50,4551.2,2026-02-07,2026-02-17,0,0,0.0
trendyol,1004,500148,500148-2,SKU-10,electronics,2,1985,3970,0.1,389.0,48,50,3483.0,2026-01-14,2026-01-24,0,0,0.0
trendyol,1009,500149,500149-2,SKU-43,home,1,1772,1772,0.2,354.4,32,100,1285.6,2026-02-14,2026-02-22,1,1772,354.4
trendyol,1000,500150,500150-1,SKU-29,cosmetics,1,1530,1530,0.2,306.0,22,100,1102.0,2026-01-12,2026-01-15,0,0,0.0
trendyol,1006,500151,500151-2,SKU-76,fashion,2,1836,3672,0.1,359.2,14,0,3298.8,2026-02-05,2026-02-15,1,3672,0.0
trendyol,1006,500152,500152-2,SKU-95,home,1,1108,1108,0.1,110.8,11,0,986.2,2026-02-06,2026-02-09,0,0,0.0
hepsiburada,1006,500153,500153-2,SKU-26,fashion,3,1892,5676,0.2,1135.2,37,50,4453.8,2026-02-11,2026-02-18,0,0,0.0
hepsiburada,1010,500154,500154-2,SKU-86,home,3,742,2226,0.1,222.6,31,100,1872.4,2026-02-12,2026-02-19,0,0,0.0
trendyol,1001,500155,500155-1,SKU-3,home,1,1678,1678,0.1,167.8,21,0,1489.2,2026-02-08,2026-02-12,0,0,0.0
trendyol,1005,500156,500156-1,SKU-95,home,1,1564,1564,0.15,234.6,24,100,1205.4,2026-02-05,2026-02-11,0,0,0.0
hepsiburada,1006,500157,500157-1,SKU-92,cosmetics,3,1920,5760,0.2,1152.0,26,0,4582.0,2026-01-27,2026-02-04,0,0,0.0
hepsiburada,1009,500158,500158-2,SKU-3,cosmetics,3,992,2976,0.1,307.6,45,0,2623.4,2026-01-30,2026-02-05,0,0,0.0
trendyol,1008,500159,500159-1,SKU-16,cosmetics,2,708,1416,0.15,212.4,42,0,1161.6,2026-01-27,2026-02-03,1,1416,212.4
trendyol,1001,500160,500160-2,SKU-9,home,1,187,187,0.1,28.7,25,0,133.3,2026-02-13,2026-02-18,0,0,0.0
trendyol,1005,500161,500161-3,SKU-38,home,1,1755,1755,0.15,263.25,13,100,1378.75,2026-01-31,2026-02-04,0,0,0.0
hepsiburada,1003,500162,500162-1,SKU-56,cosmetics,2,1111,2222,0.1,222.2,40,0,1959.8,2026-01-04,2026-01-12,0,0,0.0
trendyol,1004,500163,500163-3,SKU-9,fashion,3,1137,3411,0.2,682.2,37,0,2691.8,2026-02-22,2026-03-03,0,0,0.0
hepsiburada,1009,500164,500164-2,SKU-12,fashion,1,155,155,0.15,23.25,14,0,117.75,2026-01-28,2026-02-06,0,0,0.0
hepsiburada,1001,500165,500165-1,SKU-5,electronics,2,1719,3438,0.15,515.7,12,0,2910.3,2026-02-02,2026-02-12,0,0,0.0
trendyol,1002,500166,500166-1,SKU-47,fashion,2,955,1910,0.2,382.0,46,0,1482.0,2026-02-05,2026-02-08,0,0,0.0
hepsiburada,1005,500167,500167-2,SKU-76,home,3,1452,4356,0.2,871.2,36,100,3348.8,2026-01-08,2026-01-14,0,0,0.0
hepsiburada,1007,500168,500168-3,SKU-80,fashion,3,1567,4701,0.15,705.15,34,0,3961.85,2026-01-11,2026-01-17,1,4701,0.0
trendyol,1006,500169,500169-3,SKU-93,cosmetics,1,1363,1363,0.2,272.6,49,100,941.4000000000001,2026-01-25,2026-02-01,0,0,0.0
trendyol,1006,500170,500170-3,SKU-81,electronics,3,311,933,0.2,178.6,12,50,692.4,2026-03-02,2026-03-09,1,933,0.0
trendyol,1002,500171,500171-2,SKU-76,fashion,3,1678,5034,0.15,747.1,23,100,4163.9,2026-02-22,2026-03-02,0,0,0.0
hepsiburada,1005,500172,500172-3,SKU-83,electronics,2,391,782,0.1,78.2,44,100,559.8,2026-02-19,2026-02-25,1,782,78.2
hepsiburada,1010,500173,500173-1,SKU-43,home,2,210,420,0.2,84.0,27,0,309.0,2026-02-22,2026-02-25,0,0,0.0
hepsiburada,1003,500174,500174-1,SKU-75,home,1,343,343,0.15,61.45,27,50,204.55,2026-01-20,2026-01-25,0,0,0.0
trendyol,1008,500175,500175-2,SKU-38,home,1,837,837,0.1,75.7,56,0,705.3,2026-01-24,2026-01-28,0,0,0.0
trendyol,1000,500176,500176-3,SKU-39,fashion,1,575,575,0.2,115.0,55,100,305.0,2026-01-25,2026-01-28,1,575,115.0
trendyol,1007,500177,500177-2,SKU-26,fashion,1,231,231,0.2,38.2,17,50,125.80000000000001,2026-01-26,2026-01-30,0,0,0.0
trendyol,1010,500178,500178-2,SKU-74,fashion,1,811,811,0.2,162.2,31,50,567.8,2026-02-05,2026-02-12,0,0,0.0
hepsiburada,1007,500179,500179-3,SKU-94,cosmetics,1,1055,1055,0.2,221.0,37,100,697.0,2026-02-12,2026-02-21,1,1055,0.0
hepsiburada,1008,500180,500180-3,SKU-68,home,1,1973,1973,0.1,189.3,48,100,1635.7,2026-02-11,2026-02-19,1,1973,0.0
trendyol,1000,500181,500181-1,SKU-67,home,3,1636,4908,0.15,736.2,43,0,4128.8,2026-01-30,2026-02-06,0,0,0.0
trendyol,1004,500182,500182-1,SKU-93,cosmetics,3,1741,5223,0.15,793.45,36,0,4393.55,2026-01-25,2026-01-29,0,0,0.0
trendyol,1000,500183,500183-3,SKU-2,fashion,3,367,1101,0.15,157.15,18,50,875.85,2026-02-15,2026-02-18,0,0,0.0
hepsiburada,1001,500184,500184-3,SKU-91,electronics,1,1298,1298,0.2,259.6,19,0,1019.4000000000001,2026-01-14,2026-01-20,0,0,0.0
trendyol,1004,500185,500185-1,SKU-15,home,2,516,1032,0.1,103.2,25,0,903.8,2026-01-21,2026-01-25,0,0,0.0
trendyol,1004,500186,500186-2,SKU-80,cosmetics,2,1069,2138,0.2,427.6,59,0,1651.4,2026-01-19,2026-01-25,1,2138,0.0
trendyol,1005,500187,500187-2,SKU-79,home,2,1505,3010,0.2,602.0,36,100,2272.0,2026-01-19,2026-01-26,1,3010,0.0
